source_file,source_date,barn,raw_json,S_Jumbo,Jumbo,X_Large,Large,Medium,Small,Undergrade,Avg_Wt_g,Liquid,Blood,Dirt,Peewee
July_17_grade_outs.xlsx,2025-07-17,10,"{""S_Jumbo"": 0.8, ""Jumbo"": 10.0, ""X_Large"": 72.0, ""Large"": 16.0, ""Medium"": 0.2}",0.8,10.0,72.0,16.0,0.2,,,,,,,
July_17_grade_outs.xlsx,2025-07-17,11,"{""S_Jumbo"": 0.8, ""Jumbo"": 10.0, ""X_Large"": 72.0, ""Large"": 16.0, ""Medium"": 0.2}",0.8,10.0,72.0,16.0,0.2,,,,,,,
July_17_grade_outs.xlsx,2025-07-17,6,"{""S_Jumbo"": 0.8, ""Jumbo"": 10.0, ""X_Large"": 72.0, ""Large"": 16.0, ""Medium"": 0.2}",0.8,10.0,72.0,16.0,0.2,,,,,,,
July_17_grade_outs.xlsx,2025-07-17,7,"{""S_Jumbo"": 0.8, ""Jumbo"": 10.0, ""X_Large"": 72.0, ""Large"": 16.0, ""Medium"": 0.2}",0.8,10.0,72.0,16.0,0.2,,,,,,,
September_8_grade_outs.xlsx,2025-09-08,10,"{""S_Jumbo"": 42.1, ""Jumbo"": 6.23, ""Large"": 55.35, ""Medium"": 1.46, ""Small"": 0.04, ""Peewee"": 0.01, ""Undergrade"": 1.03, ""Avg_Wt_g"": 63.306, ""Liquid"": 0.1, ""Blood"": 0.06, ""Dirt"": 0.74}",42.1,6.23,,55.35,1.46,0.04,1.03,63.306,0.1,0.06,0.74,0.01
September_8_grade_outs.xlsx,2025-09-08,11,"{""S_Jumbo"": 33.96, ""Jumbo"": 5.22, ""Large"": 59.45, ""Medium"": 5.17, ""Small"": 0.08, ""Peewee"": 0.01, ""Undergrade"": 1.31, ""Avg_Wt_g"": 62.419, ""Liquid"": 0.22, ""Blood"": 0.14, ""Dirt"": 0.7}",33.96,5.22,,59.45,5.17,0.08,1.31,62.419,0.22,0.14,0.7,0.01
September_8_grade_outs.xlsx,2025-09-08,7,"{""S_Jumbo"": 30.22, ""Jumbo"": 3.47, ""Large"": 65.2, ""Medium"": 3.56, ""Small"": 0.05, ""Peewee"": 0.0, ""Undergrade"": 0.95, ""Avg_Wt_g"": 61.979, ""Liquid"": 0.14, ""Blood"": 0.06, ""Dirt"": 0.6}",30.22,3.47,,65.2,3.56,0.05,0.95,61.979,0.14,0.06,0.6,0.0
September_15_grade_outs.xlsx,2025-09-15,10,"{""S_Jumbo"": 27.99, ""Jumbo"": 3.11, ""Large"": 65.56, ""Medium"": 3.43, ""Small"": 0.05, ""Peewee"": 0.0, ""Undergrade"": 2.93, ""Avg_Wt_g"": 61.881, ""Liquid"": 0.57, ""Blood"": 0.06, ""Dirt"": 1.08}",27.99,3.11,,65.56,3.43,0.05,2.93,61.881,0.57,0.06,1.08,0.0
September_15_grade_outs.xlsx,2025-09-15,11,"{""S_Jumbo"": 34.72, ""Jumbo"": 5.88, ""Large"": 56.41, ""Medium"": 6.53, ""Small"": 0.07, ""Peewee"": 0.0, ""Undergrade"": 2.26, ""Avg_Wt_g"": 62.43, ""Liquid"": 0.42, ""Blood"": 0.1, ""Dirt"": 1.11}",34.72,5.88,,56.41,6.53,0.07,2.26,62.43,0.42,0.1,1.11,0.0
September_15_grade_outs.xlsx,2025-09-15,7,"{""S_Jumbo"": 91.68, ""Jumbo"": 24.55, ""Large"": 4.21, ""Medium"": 0.07, ""Small"": 0.01, ""Peewee"": 0.0, ""Undergrade"": 0.95, ""Avg_Wt_g"": 61.687, ""Liquid"": 0.11, ""Blood"": 0.13, ""Dirt"": 0.59}",91.68,24.55,,4.21,0.07,0.01,0.95,61.687,0.11,0.13,0.59,0.0
September_24_grade_outs.xlsx,2025-09-24,10,"{""S_Jumbo"": 26.8, ""Jumbo"": 3.7, ""X_Large"": 23.1, ""Large"": 67.6, ""Medium"": 4.6, ""Small"": 0.1, ""Undergrade"": 0.9, ""Avg_Wt_g"": 61.631, ""Liquid"": 0.1, ""Blood"": 0.4, ""Dirt"": 0.4}",26.8,3.7,23.1,67.6,4.6,0.1,0.9,61.631,0.1,0.4,0.4,
